elo,match32,top3_32,cploss32,match256,top3_256,cploss256,match4096,top3_4096,cploss4096,match65536,top3_65536,cploss65536
1542,0,0,39,0,1,93,0,1,222,0,0,239
1062,0,1,4,0,1,14,0,1,19,0,1,0
1554,0,1,0,0,1,29,1,1,87,0,1,18
1879,0,0,42,0,0,75,0,0,127,0,0,181
983,0,1,0,1,1,63,1,1,0,1,1,0
2262,1,1,0,1,1,38,1,1,52,1,1,0
1542,0,0,50,0,0,0,1,1,100,0,0,48
1344,1,1,0,1,1,99,0,0,119,1,1,0
2547,1,1,0,1,1,39,0,1,73,0,1,68
1591,1,1,0,1,1,30,1,1,0,1,1,14
1509,0,1,308,0,1,219,0,1,107,0,1,154
1665,0,0,4,0,1,20,0,0,15,0,0,3
1425,0,0,5,0,1,15,0,1,67,0,1,13
2108,0,0,54,0,0,33,0,0,18,0,1,10
1454,0,0,67,0,0,27,0,0,292,0,0,534
2187,1,1,521,0,1,96,0,1,86,1,1,16
1163,1,1,0,1,1,0,1,1,0,1,1,0
1432,0,0,0,1,1,48,1,1,99,0,0,24
2039,0,0,2,0,1,0,1,1,38,1,1,11
996,0,0,0,1,1,48,0,0,13,0,0,37
1976,0,1,23,1,1,0,1,1,23,0,1,30
1213,0,1,32,0,0,27,0,0,187,0,0,203
1912,1,1,0,1,1,0,1,1,0,0,1,0
1246,0,0,12,0,1,62,0,0,60,0,0,49
937,0,0,407,0,1,0,0,1,16,1,1,0
1734,0,1,88,0,1,195,0,0,146,0,0,109
2579,1,1,0,1,1,53,0,1,17,0,0,92
2313,0,0,164,0,0,164,0,0,149,0,1,140
1245,0,1,19,0,1,9,0,0,15,0,1,36
1366,0,0,131,0,0,185,0,0,127,0,0,95
1606,0,0,3,0,1,12,0,0,37,0,0,59
1007,0,1,92,0,1,73,1,1,0,1,1,0
2061,0,0,17,0,0,14,0,1,7,1,1,0
1452,0,0,72,0,0,104,0,0,1809,0,0,2
1213,0,1,236,0,1,0,1,1,0,1,1,0
1966,0,0,20,0,1,4,1,1,0,1,1,0
2129,1,1,14,0,1,24,0,0,246,0,0,316
1710,0,0,134,0,0,220,0,0,296,0,0,337
1500,1,1,0,1,1,128,1,1,47,1,1,101
1599,0,0,384,0,0,368,0,0,344,0,0,190
2002,1,1,7,0,1,53,0,0,114,0,0,234
886,0,1,21,0,1,8,0,1,51,0,1,54
1801,1,1,48,1,1,23,1,1,28,1,1,0
2546,0,1,54,0,1,654,0,1,2894,0,0,2
1566,1,1,0,1,1,27,0,1,17,0,1,34
1243,1,1,90,0,1,1,0,1,154,0,0,92
1401,0,0,0,1,1,11,1,1,0,1,1,11
2325,0,1,1,0,0,0,0,1,0,0,0,0
2086,1,1,24,1,1,1,1,1,15,1,1,0
1827,1,1,0,1,1,0,1,1,0,0,1,45
1725,1,1,0,1,1,24,1,1,29,1,1,5
2467,1,1,0,1,1,0,0,1,0,1,1,0
1967,0,1,0,1,1,0,1,1,0,1,1,0
1257,0,0,56,0,0,6,0,1,23,0,0,10
1399,1,1,0,0,1,0,0,1,0,0,1,0
1842,0,0,111,0,0,80,0,1,202,0,0,220
1872,0,0,15,0,0,53,0,0,56,0,0,110
1723,0,0,150,0,0,26,0,1,11,0,1,52
2152,0,1,0,1,1,33,1,1,4,1,1,7
1626,0,0,647,0,0,619,0,0,591,0,0,745
1398,1,1,0,1,1,31,0,1,0,1,1,0
1316,1,1,0,1,1,9,0,1,14,0,1,22
2108,0,0,90,0,0,87,0,0,170,0,0,72
1558,0,0,50,0,0,71,0,0,98,0,0,51
1936,0,1,0,1,1,69,0,1,0,1,1,36
1145,1,1,85,1,1,0,0,1,29,0,1,2
1162,1,1,0,1,1,25,1,1,5,0,1,0
1966,1,1,18,1,1,0,0,1,0,0,0,201
1911,1,1,0,1,1,0,1,1,0,1,1,0
1656,0,0,324,0,0,338,0,0,169,0,0,455
1773,1,1,1983,0,0,1926,0,0,1926,0,0,1898
2231,1,1,0,1,1,0,1,1,0,1,1,0
1500,0,0,155,0,0,220,0,0,156,0,0,228
2052,1,1,0,1,1,0,1,1,4,1,1,0
1941,0,1,0,1,1,0,1,1,0,0,1,0
1573,0,1,0,1,1,41,0,1,0,1,1,0
1704,0,0,0,1,1,53,0,0,14,0,0,68
2304,0,1,862,0,1,394,0,1,382,0,1,336
1542,0,0,71,0,0,110,0,0,90,0,1,63
1300,0,1,0,0,1,87,0,0,22,0,1,4
1831,1,1,126,0,1,0,1,1,55,1,1,0
1871,1,1,38,0,1,82,0,1,16,0,0,30
1239,0,1,55,0,1,29,0,1,37,0,0,55
816,0,0,182,0,0,100,0,0,64,0,1,91
1839,1,1,0,1,1,82,0,0,73,0,1,13
1401,0,0,0,1,1,13,1,1,0,1,1,43
2035,0,0,10,0,1,19,1,1,35,1,1,0
1528,0,0,3137,0,0,1,0,1,1,0,1,1
2150,0,1,0,1,1,41,0,1,70,1,1,2
1999,0,1,7,0,1,32,0,0,11,0,1,5
1727,0,0,0,1,1,22,0,0,17,0,0,25
1628,0,1,0,1,1,107,1,1,74,1,1,2
1609,1,1,2,1,1,35,1,1,27,0,1,0
1224,1,1,0,1,1,15,1,1,0,1,1,0
1528,0,0,60,0,0,36,1,1,46,0,0,43
1457,0,0,0,1,1,8,0,0,46,0,0,26
953,0,0,136,0,0,191,0,0,311,0,0,146
